param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
12,0.152,0.,0.152,,,,0.,0.,0.,,,,,,,,,,,,,,,0.105,0.,0.105,,,
13,0.116,0.,0.116,,,,,,,,,,,,,,,,,,,,,0.124,0.,0.124,,,
14,0.153,0.,0.153,,,,,,,,,,,,,,,,,,,,,0.199,0.,0.199,,,
15,0.208,0.,0.208,,,,,,,,,,,,,,,,,,,,,0.197,0.,0.197,,,
16,0.189,0.,0.189,,,,,,,,,,,,,,,,,,,,,0.217,0.,0.217,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.251,0.,0.25,,,
18,0.275,0.,0.275,,,,0.,0.,0.,,,,,,,,,,,,,,,0.29,0.,0.29,,,
19,0.312,0.,0.312,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.,0.38,,,
22,0.472,0.,0.472,,,,,,,,,,,,,,,,,,,,,0.521,0.015,0.503,,,
23,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.003,0.597,,,
25,0.612,0.,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.739,0.,0.739,,,
28,0.823,0.,0.823,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,0.878,0.,0.878,,,
30,1.054,0.,1.054,,,,,,,,,,,,,,,,,,,,,1.038,0.,1.038,,,
32,,,,,,,,,,,,,,,,,,,,,,,,1.238,0.,1.237,,,
33,1.227,0.,1.227,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,1.479,0.,1.479,,,
36,1.595,0.,1.595,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,2.282,0.003,2.278,0.,0.,0.
43,2.561,0.,2.561,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
45,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,3.43,0.,3.43,,,
49,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
50,3.624,0.003,3.621,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,4.849,0.015,4.833,,,
56,4.866,0.,4.865,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,6.566,0.007,6.555,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
